19:17:50,4,0.97,38.70386,-0.47839,3842.23170N,28.70330W
19:17:53,5,0.77,38.70386,-0.47842,3842.23170N,28.70520W
19:17:56,7,2.59,38.70387,-0.47828,3842.23220N,28.69670W
19:17:59,7,3.01,38.70390,-0.47843,3842.23360N,28.70590W
19:18:02,7,2.65,38.70388,-0.47829,3842.23320N,28.69770W
19:18:05,7,2.29,38.70401,-0.47831,3842.24070N,28.69840W
19:18:08,7,2.72,38.70398,-0.47827,3842.23850N,28.69650W
19:18:11,7,2.64,38.70399,-0.47834,3842.23950N,28.70070W
19:18:14,8,2.35,38.70401,-0.47840,3842.24050N,28.70410W
19:18:17,8,1.48,38.70403,-0.47845,3842.24190N,28.70730W
19:18:20,8,3.17,38.70407,-0.47846,3842.24440N,28.70790W
19:18:23,8,2.99,38.70411,-0.47845,3842.24660N,28.70730W
19:18:26,8,1.44,38.70412,-0.47847,3842.24710N,28.70850W
19:18:29,8,1.70,38.70413,-0.47851,3842.24780N,28.71040W
19:18:32,7,2.56,38.70420,-0.47854,3842.25220N,28.71260W
19:18:35,7,2.77,38.70425,-0.47855,3842.25490N,28.71280W
19:18:38,8,2.44,38.70428,-0.47856,3842.25680N,28.71350W
19:18:41,8,2.49,38.70430,-0.47859,3842.25810N,28.71560W
19:18:44,8,2.32,38.70430,-0.47864,3842.25810N,28.71840W
19:18:47,8,2.48,38.70428,-0.47868,3842.25710N,28.72110W
19:18:50,8,2.56,38.70426,-0.47873,3842.25560N,28.72370W
19:18:53,8,3.06,38.70423,-0.47877,3842.25370N,28.72610W
19:18:56,8,2.99,38.70420,-0.47882,3842.25220N,28.72910W
19:18:59,8,2.86,38.70417,-0.47886,3842.25050N,28.73160W
19:19:02,8,2.95,38.70413,-0.47901,3842.24760N,28.74040W
19:19:05,7,2.96,38.70410,-0.47908,3842.24610N,28.74470W
19:19:08,7,3.06,38.70408,-0.47913,3842.24460N,28.74790W
19:19:11,7,2.94,38.70405,-0.47918,3842.24320N,28.75090W
19:19:14,7,2.84,38.70403,-0.47923,3842.24170N,28.75360W
19:19:17,7,2.77,38.70401,-0.47927,3842.24070N,28.75600W
19:19:20,7,2.91,38.70399,-0.47930,3842.23950N,28.75830W
19:19:23,7,3.09,38.70398,-0.47935,3842.23850N,28.76100W
19:19:26,7,2.74,38.70396,-0.47939,3842.23750N,28.76350W
19:19:29,7,2.97,38.70394,-0.47943,3842.23630N,28.76600W
19:19:32,8,2.62,38.70392,-0.47948,3842.23540N,28.76860W
19:19:35,8,2.78,38.70390,-0.47952,3842.23410N,28.77110W
19:19:38,8,2.99,38.70388,-0.47956,3842.23320N,28.77360W
19:19:41,8,2.93,38.70387,-0.47960,3842.23190N,28.77610W
19:19:44,8,2.89,38.70385,-0.47964,3842.23070N,28.77840W
19:19:47,8,2.97,38.70383,-0.47968,3842.22950N,28.78080W
19:19:50,8,2.97,38.70381,-0.47972,3842.22850N,28.78310W
19:19:53,8,2.61,38.70379,-0.47976,3842.22730N,28.78560W
19:19:56,8,3.08,38.70377,-0.47980,3842.22580N,28.78800W
19:19:59,8,2.60,38.70374,-0.47984,3842.22460N,28.79040W
19:20:02,8,2.90,38.70372,-0.47988,3842.22340N,28.79290W
19:20:05,8,3.02,38.70370,-0.47992,3842.22190N,28.79540W
19:20:08,8,2.81,38.70368,-0.47996,3842.22070N,28.79770W
19:20:11,8,3.00,38.70366,-0.48000,3842.21920N,28.80020W
19:20:14,8,2.67,38.70363,-0.48004,3842.21800N,28.80270W
19:20:17,8,3.42,38.70362,-0.48010,3842.21680N,28.80580W
19:20:20,8,2.85,38.70359,-0.48014,3842.21580N,28.80850W
19:20:23,8,3.00,38.70358,-0.48019,3842.21440N,28.81120W
19:20:26,8,3.21,38.70354,-0.48023,3842.21290N,28.81390W
19:20:29,8,2.82,38.70353,-0.48027,3842.21170N,28.81640W
19:20:32,8,2.95,38.70350,-0.48031,3842.21020N,28.81890W
19:20:35,8,2.14,38.70350,-0.48036,3842.21000N,28.82140W
19:20:38,8,2.92,38.70348,-0.48040,3842.20850N,28.82380W
19:20:41,8,2.97,38.70345,-0.48043,3842.20700N,28.82610W
19:20:44,8,2.55,38.70343,-0.48047,3842.20610N,28.82850W
