000003,20.30,19.78,0.00,50.10,0.00,0.00,8.00,0.00,426.00
000010,20.30,19.78,0.00,50.05,0.00,0.00,9.00,0.00,426.00
000017,20.30,19.78,0.00,50.09,0.00,0.00,6.90,0.00,427.00
000023,20.30,19.78,0.00,50.03,0.00,0.00,8.60,0.00,425.00
000030,20.30,19.79,0.00,50.06,0.00,0.00,7.80,0.00,426.00
000037,20.30,19.78,0.00,50.07,0.00,0.00,9.00,0.00,426.00
000044,20.30,19.78,0.00,50.02,0.00,0.00,9.00,0.00,425.00
000050,20.30,19.79,0.00,50.05,0.00,0.00,8.50,0.00,425.00
000057,20.30,19.77,0.00,50.08,0.00,0.00,9.00,0.00,426.00
000104,20.20,19.78,0.00,50.00,0.00,0.00,9.00,0.00,426.00
000111,20.20,19.79,0.00,49.96,0.00,0.00,9.00,0.00,425.00
000117,20.30,19.78,0.00,49.97,0.00,0.00,9.00,0.00,425.00
000124,20.20,19.78,0.00,50.00,0.00,0.00,8.60,0.00,425.00
000131,20.30,19.79,0.00,50.01,0.00,0.00,9.00,0.00,425.00
000138,20.20,19.78,0.00,49.99,0.00,0.00,7.70,0.00,425.00
000144,20.20,19.79,0.00,49.98,0.00,0.00,9.00,0.00,426.00
000151,20.20,19.79,0.00,50.04,0.00,0.00,9.00,0.00,426.00
000158,20.20,19.79,0.00,50.05,0.00,0.00,9.00,0.00,426.00
000205,20.30,19.77,0.00,49.96,0.00,0.00,9.00,0.00,427.00
000211,20.30,19.80,0.00,49.91,0.00,0.00,9.00,0.00,427.00
000218,20.30,19.79,0.00,49.84,0.00,0.00,9.00,0.00,428.00
000225,20.30,19.79,0.00,49.95,0.00,0.00,8.20,0.00,428.00
000232,20.30,19.77,0.00,50.02,0.00,0.00,9.00,0.00,428.00
000238,20.30,19.79,0.00,50.10,0.00,0.00,9.00,0.00,427.00
000245,20.30,19.78,0.00,50.16,0.00,0.00,8.60,0.00,427.00
